j,i,value
0,0,0.0
0,2,1.8853727112855267e-07
0,4,1.8699670079058706e-07
0,6,1.8741251039955387e-07
0,8,1.8686466773942811e-07
0,10,1.862917997641489e-07
0,12,1.8578052163320535e-07
0,14,1.8543634894285788e-07
0,16,1.8500922749353776e-07
0,18,1.8459073203302978e-07
0,20,1.841229675392242e-07
0,22,1.8370593579675187e-07
0,24,1.8327311579469097e-07
0,26,1.8273024693371553e-07
0,28,1.8187776618106e-07
0,30,1.817385708591246e-07
0,32,1.813599794786569e-07
0,34,1.8166423387810937e-07
0,36,1.817680299609492e-07
0,38,1.8180044492055458e-07
0,40,1.8173778926211526e-07
0,42,1.8165214044074673e-07
0,44,1.8172552529449604e-07
0,46,1.819735047092763e-07
0,48,1.82433780082647e-07
2,0,0.0
2,2,4.19030357079464e-07
2,4,3.520729308092996e-07
2,6,2.962828773434012e-07
2,8,1.872235202426964e-07
2,10,3.8225289245019667e-07
2,12,1.9107308446564275e-07
2,14,1.8591813955026737e-07
2,16,1.8586729311209638e-07
2,18,1.8555221004135092e-07
2,20,1.8505865284623724e-07
2,22,1.8463245510247361e-07
2,24,1.8392196921013237e-07
2,26,1.83029811751112e-07
2,28,1.820116324324772e-07
2,30,1.819781658696229e-07
2,32,1.8235867571547715e-07
2,34,1.829393312391403e-07
2,36,1.830505738098509e-07
2,38,1.8310630878204393e-07
2,40,1.830959064363924e-07
2,42,1.8293394532520324e-07
2,44,1.8274219826253102e-07
2,46,1.8272345414516167e-07
2,48,1.8315954264380707e-07
4,0,0.0
4,2,4.189928688447253e-07
4,4,4.2014195855699654e-07
4,6,4.183306714367063e-07
4,8,4.1716592136253894e-07
4,10,4.1576456055736344e-07
4,12,4.14510594737294e-07
4,14,3.5540892895369325e-07
4,16,1.8603346063628123e-07
4,18,1.859315403862638e-07
4,20,1.854564715131346e-07
4,22,1.8489637909624435e-07
4,24,1.8410608504382253e-07
4,26,1.8310097971152572e-07
4,28,1.8306484150798497e-07
4,30,1.8336299945076462e-07
4,32,1.8380603705736576e-07
4,34,1.8403927981580637e-07
4,36,1.8413992108889943e-07
4,38,1.8424027814489818e-07
4,40,1.8422051084598934e-07
4,42,1.8403811452571972e-07
4,44,1.8371099486103049e-07
4,46,1.8362176490427373e-07
4,48,2.1262246718833921e-07
6,0,0.0
6,2,4.16617638165917e-07
6,4,4.1736231537470303e-07
6,6,4.1905431658051384e-07
6,8,4.1730757516234007e-07
6,10,4.167311828950915e-07
6,12,4.153369275172736e-07
6,14,4.146086212131195e-07
6,16,3.8282627201624564e-07
6,18,1.8532873014009965e-07
6,20,1.8475100205250783e-07
6,22,1.8449921412866388e-07
6,24,1.8426811720928526e-07
6,26,1.8390116451882932e-07
6,28,1.8391828859876114e-07
6,30,1.8418798219954624e-07
6,32,1.8450089100952027e-07
6,34,1.8467380868969485e-07
6,36,1.846488828505244e-07
6,38,1.8458005968113866e-07
6,40,1.845691457447174e-07
6,42,1.8438824156419287e-07
6,44,1.8429234671657468e-07
6,46,1.8432879755891918e-07
6,48,2.6855130386138626e-07
8,0,0.0
8,2,0.0005282676429487765
8,4,0.001890793675556779
8,6,9.047313506016508e-05
8,8,0.0006361078703776002
8,10,4.166809333128185e-07
8,12,4.1639415826466575e-07
8,14,4.1398772054890287e-07
8,16,4.1293381514151406e-07
8,18,2.6659745344659314e-06
8,20,1.8468342943833704e-07
8,22,1.8460610817783163e-07
8,24,1.846202906108374e-07
8,26,1.8440231031036092e-07
8,28,1.8437749815802817e-07
8,30,1.8464061213308014e-07
8,32,1.8487095587715885e-07
8,34,1.84857924523385e-07
8,36,1.8484533370610734e-07
8,38,1.8474457874617656e-07
8,40,1.8465482298779534e-07
8,42,1.8467733298166422e-07
8,44,2.3145670979829447e-07
8,46,2.2152969449962256e-06
8,48,0.041444599628448486
10,0,0.0
10,2,4.1839976461233164e-07
10,4,4.185721991234459e-07
10,6,4.1719277987795067e-07
10,8,4.178429549028806e-07
10,10,0.0003413323138374835
10,12,4.160511366535502e-07
10,14,4.140402722896397e-07
10,16,4.1333856870551244e-07
10,18,2.3706468255113577e-06
10,20,4.7867297325865366e-06
10,22,3.1066449537320295e-06
10,24,3.102695700363256e-07
10,26,1.8462743867075915e-07
10,28,1.8458332817772316e-07
10,30,1.848724053843398e-07
10,32,1.8500820431199827e-07
10,34,1.8506678145513433e-07
10,36,1.8514506905376038e-07
10,38,1.8507500954001443e-07
10,40,1.8499360976420576e-07
10,42,9.909005029840046e-07
10,44,9.243598469765857e-06
10,46,0.09711141884326935
10,48,0.12751244008541107
12,0,0.0
12,2,4.1668346284495783e-07
12,4,4.158491151429189e-07
12,6,4.163327673722961e-07
12,8,4.162598941093165e-07
12,10,4.13898646911548e-07
12,12,0.0024236543104052544
12,14,0.005160827189683914
12,16,4.134138578137936e-07
12,18,4.129768456095917e-07
12,20,4.181646318102139e-07
12,22,0.011739385314285755
12,24,8.878655535227153e-07
12,26,1.84729387342486e-07
12,28,1.8455835970598855e-07
12,30,1.8471064322511666e-07
12,32,1.8497716780530027e-07
12,34,1.8518271360790095e-07
12,36,1.8523776645906764e-07
12,38,1.6921502492550644e-06
12,40,9.24210689845495e-06
12,42,0.0023161484859883785
12,44,0.064073346555233
12,46,0.09849889576435089
12,48,0.11981856822967529
14,0,0.0
14,2,4.1617914803282474e-07
14,4,4.1536989670021285e-07
14,6,4.1521161620039493e-07
14,8,4.1423811580898473e-07
14,10,4.1383626125934825e-07
14,12,4.1244379644922446e-07
14,14,4.1340459233651927e-07
14,16,0.021073348820209503
14,18,0.0025729606859385967
14,20,0.0005066646263003349
14,22,6.9424086177605204e-06
14,24,0.05422130972146988
14,26,0.005310771055519581
14,28,0.02233230695128441
14,30,0.00022097205510362983
14,32,0.00023036633501760662
14,34,0.0002313513250555843
14,36,1.8515207500513498e-07
14,38,1.8932253169623436e-06
14,40,0.02326185628771782
14,42,9.25999029277591e-06
14,44,0.04226240515708923
14,46,0.01636589504778385
14,48,0.013078167103230953
16,0,0.0
16,2,4.1661039063001226e-07
16,4,4.1508673120915773e-07
16,6,0.019687870517373085
16,8,4.133969753183919e-07
16,10,4.1273040096712066e-07
16,12,4.12046432529678e-07
16,14,4.125625707729341e-07
16,16,4.138337885706278e-07
16,18,4.1713181531122245e-07
16,20,4.16422636817515e-07
16,22,0.002567320829257369
16,24,0.0178220197558403
16,26,0.013232724741101265
16,28,0.14651305973529816
16,30,0.030955523252487183
16,32,0.13082778453826904
16,34,0.18115824460983276
16,36,0.0338432639837265
16,38,0.0420285128057003
16,40,0.08875249326229095
16,42,0.0037704985588788986
16,44,0.0999448224902153
16,46,1.2990455616090912e-05
16,48,1.3032587048655841e-05
18,0,0.0
18,2,4.1378885384801833e-07
18,4,4.1580543097552436e-07
18,6,4.1550217133590195e-07
18,8,4.162944833296933e-07
18,10,4.1477497347841563e-07
18,12,4.120683172459394e-07
18,14,4.1078610024669615e-07
18,16,0.015812145546078682
18,18,0.013786098919808865
18,20,4.213082718251826e-07
18,22,0.00349947577342391
18,24,0.01978369802236557
18,26,0.0270773246884346
18,28,0.11862573027610779
18,30,0.18715231120586395
18,32,0.19467145204544067
18,34,0.18440790474414825
18,36,0.0712231919169426
18,38,0.07844283431768417
18,40,0.01613515615463257
18,42,0.006617825943976641
18,44,0.017983078956604004
18,46,0.02033398300409317
18,48,4.854914550378453e-07
20,0,1.7504090399356187e-09
20,2,4.1759517444006633e-07
20,4,4.1619477997301146e-07
20,6,4.153226313974301e-07
20,8,4.1648277715466975e-07
20,10,4.1576504372642376e-07
20,12,4.1254585880778905e-07
20,14,4.1142925510939676e-07
20,16,4.100290595943079e-07
20,18,4.1353732171955926e-07
20,20,5.861165391252143e-06
20,22,1.0275647582602687e-05
20,24,0.016009703278541565
20,26,1.01260147857829e-05
20,28,0.007701316848397255
20,30,0.026660554111003876
20,32,0.054781824350357056
20,34,0.005212006159126759
20,36,0.010103654116392136
20,38,1.4365349443323794e-06
20,40,4.227934823575197e-06
20,42,0.01340425107628107
20,44,0.004259294830262661
20,46,1.0317357634903601e-07
20,48,1.0524825455604514e-07
22,0,2.2426964729760357e-09
22,2,4.161039441896719e-07
22,4,4.173854506461794e-07
22,6,4.145923071519064e-07
22,8,4.1351620438945247e-07
22,10,4.13440432112111e-07
22,12,4.1435902176090167e-07
22,14,4.121339429730142e-07
22,16,4.092486847184773e-07
22,18,4.0950777702164487e-07
22,20,4.137292819450522e-07
22,22,9.757295629242435e-07
22,24,1.0183260201301891e-05
22,26,0.02909361943602562
22,28,1.4934170394553803e-05
22,30,0.04917551949620247
22,32,0.031201044097542763
22,34,0.03999274596571922
22,36,0.053721386939287186
22,38,0.028289733454585075
22,40,0.053541187196969986
22,42,0.006147312931716442
22,44,0.029672497883439064
22,46,0.024268627166748047
22,48,0.03881780058145523
24,0,1.8300170268048532e-09
24,2,4.1225297309210873e-07
24,4,4.1614148926782946e-07
24,6,4.1717245835570793e-07
24,8,4.156143234013143e-07
24,10,4.1475396983514656e-07
24,12,4.1405033357477805e-07
24,14,0.020162079483270645
24,16,4.1339652057104104e-07
24,18,4.0907008269641665e-07
24,20,4.0920403421296214e-07
24,22,4.111105056381348e-07
24,24,4.104241213553905e-07
24,26,0.020415009930729866
24,28,0.010583413764834404
24,30,0.0008542444556951523
24,32,6.950835995667148e-06
24,34,6.060630767024122e-06
24,36,0.001084722694940865
24,38,0.02593827247619629
24,40,0.025460675358772278
24,42,0.014785844832658768
24,44,5.907928880333202e-06
24,46,5.476819296745816e-06
24,48,1.7368213889312756e-07
26,0,1.407552630006137e-09
26,2,4.129613273562427e-07
26,4,4.1465366962256667e-07
26,6,4.1755629354156554e-07
26,8,4.1938486106118944e-07
26,10,4.1536307548994955e-07
26,12,4.175504386694229e-07
26,14,4.177965138296713e-07
26,16,4.148204482135043e-07
26,18,4.135351048262237e-07
26,20,4.155469071065454e-07
26,22,4.1504983983031707e-07
26,24,0.00018548732623457909
26,26,4.1793771288212156e-07
26,28,4.1757164126465796e-07
26,30,0.0008691436378285289
26,32,2.940331796708051e-06
26,34,5.043600140197668e-06
26,36,0.014460676349699497
26,38,0.0024919433053582907
26,40,5.9225940276519395e-06
26,42,5.881222477910342e-06
26,44,5.91505340707954e-06
26,46,3.0363073619810166e-06
26,48,1.0433865327286185e-07
28,0,9.77541714242136e-10
28,2,4.1522508809066494e-07
28,4,4.134392952437338e-07
28,6,4.1297988673250074e-07
28,8,4.167644078734156e-07
28,10,4.1760350200092944e-07
28,12,4.1682321239022713e-07
28,14,4.152255996814347e-07
28,16,4.156169381985819e-07
28,18,4.15631404848682e-07
28,20,4.154515522714064e-07
28,22,4.16149646298436e-07
28,24,4.1516705096000805e-07
28,26,0.007276649586856365
28,28,4.175645642590098e-07
28,30,4.179073584964499e-07
28,32,4.176249603915494e-07
28,34,4.180834025646618e-07
28,36,0.0007163786794990301
28,38,0.029274707660079002
28,40,2.6249631446262356e-06
28,42,0.00787938479334116
28,44,5.9204471654084045e-06
28,46,4.5658284761884715e-06
28,48,1.04633542719057e-07
30,0,5.515694012636629e-10
30,2,4.1744092982298753e-07
30,4,4.116509160212445e-07
30,6,4.164079712154489e-07
30,8,4.1640734593784146e-07
30,10,4.169624503447267e-07
30,12,4.14147137917098e-07
30,14,4.1504384284962725e-07
30,16,4.1538794448570115e-07
30,18,4.12285942275048e-07
30,20,4.1067787037718517e-07
30,22,4.1522639548929874e-07
30,24,4.1660487681838276e-07
30,26,4.1375184878233995e-07
30,28,4.1752900870051235e-07
30,30,4.202204593184433e-07
30,32,4.2063911109835317e-07
30,34,4.200804823994986e-07
30,36,0.004486883524805307
30,38,1.753928557945983e-07
30,40,0.006360037252306938
30,42,1.0411648077024438e-07
30,44,2.3314737518376205e-07
30,46,1.0465021205163794e-07
30,48,1.0425901564303786e-07
32,0,1.2080295097582905e-10
32,2,4.1815803797362605e-07
32,4,4.1414614315726794e-07
32,6,4.116524223718443e-07
32,8,4.136639120133623e-07
32,10,4.115080969313567e-07
32,12,4.1198126154995407e-07
32,14,4.105869209070079e-07
32,16,4.131817661345849e-07
32,18,4.133911488679587e-07
32,20,4.106402116121899e-07
32,22,4.1270169504059595e-07
32,24,4.132191406824859e-07
32,26,4.118690242194134e-07
32,28,4.1088529201260826e-07
32,30,4.147285892486252e-07
32,32,4.150418533299671e-07
32,34,0.012997382320463657
32,36,0.0038531452883034945
32,38,1.740419719453712e-07
32,40,0.0002070418995572254
32,42,1.043892723373574e-07
32,44,1.0441840458952356e-07
32,46,1.0414049711471307e-07
32,48,1.0378755632700631e-07
34,0,0.0
34,2,4.1601117573009105e-07
34,4,4.182240900263423e-07
34,6,4.1727065536179e-07
34,8,4.1423226093684207e-07
34,10,4.137639564305573e-07
34,12,4.1243052351092047e-07
34,14,4.092791527909867e-07
34,16,4.090923937383195e-07
34,18,4.101664501376945e-07
34,20,4.1094901348515123e-07
34,22,4.114776288588473e-07
34,24,4.1171614384438726e-07
34,26,4.1175755427502736e-07
34,28,4.116538434573158e-07
34,30,4.125816133182525e-07
34,32,2.0666850275574689e-07
34,34,0.019963162019848824
34,36,1.7231991478183772e-07
34,38,1.723294218436422e-07
34,40,1.7419657183381787e-07
34,42,0.004895832855254412
34,44,0.00037053192500025034
34,46,1.0387000770606392e-07
34,48,1.0394539629032806e-07
36,0,0.0
36,2,4.172184162598569e-07
36,4,4.1542691064933024e-07
36,6,4.150245160872146e-07
36,8,4.1640890913186013e-07
36,10,4.156345880801382e-07
36,12,4.1996287336587557e-07
36,14,4.166598728261306e-07
36,16,4.151939947405481e-07
36,18,4.14880190646727e-07
36,20,4.149973165112897e-07
36,22,4.151308132804843e-07
36,24,4.1702514863573015e-07
36,26,4.1443081499892287e-07
36,28,4.1438397602178156e-07
36,30,0.010951080359518528
36,32,1.7161060839043785e-07
36,34,1.719339195460634e-07
36,36,1.7261405105273298e-07
36,38,1.7266749807731685e-07
36,40,1.7187149126129952e-07
36,42,0.004187732469290495
36,44,1.7231701576747582e-07
36,46,1.0938601491261579e-07
36,48,1.0391143945298609e-07
38,0,0.0
38,2,4.177371408786712e-07
38,4,4.153934867190401e-07
38,6,4.148724599417619e-07
38,8,4.1275001194662764e-07
38,10,4.1122768834611634e-07
38,12,4.126121098124713e-07
38,14,4.170124725533242e-07
38,16,4.169260137132369e-07
38,18,4.177884420641931e-07
38,20,4.2002511690952815e-07
38,22,4.2025396851386176e-07
38,24,4.207001893519191e-07
38,26,4.196822942503786e-07
38,28,2.948650603684655e-07
38,30,1.7245255889974942e-07
38,32,1.7174235722450248e-07
38,34,0.0017567870672792196
38,36,1.7201597302118898e-07
38,38,1.7172317257063696e-07
38,40,1.7160095922008622e-07
38,42,1.7325567114312435e-07
38,44,0.0012711752206087112
38,46,1.731147563077684e-07
38,48,1.743413093890922e-07
40,0,0.0
40,2,4.178353094630438e-07
40,4,4.1642286419119046e-07
40,6,4.1660933902676334e-07
40,8,4.1723725985320925e-07
40,10,4.142893885727972e-07
40,12,4.1005330331245204e-07
40,14,4.1060184230445884e-07
40,16,4.1057640487451863e-07
40,18,4.114313298941852e-07
40,20,4.1364415892530815e-07
40,22,4.1748637613636674e-07
40,24,4.189091100670339e-07
40,26,0.00030484164017252624
40,28,1.752068357063763e-07
40,30,1.7454325984544994e-07
40,32,0.0025917505845427513
40,34,1.7246600236831e-07
40,36,0.003382079303264618
40,38,1.7247177197532437e-07
40,40,1.7108393990383775e-07
40,42,0.00313417986035347
40,44,1.73294509409061e-07
40,46,1.731782219849265e-07
40,48,1.72208828530529e-07
42,0,0.0
42,2,4.1936488059945987e-07
42,4,4.1682670826048707e-07
42,6,4.1515338011777203e-07
42,8,4.1355843904966605e-07
42,10,4.183749524599989e-07
42,12,4.14776053503374e-07
42,14,4.09875468676546e-07
42,16,4.1759577129596437e-07
42,18,4.18057197748567e-07
42,20,4.1891271962413157e-07
42,22,4.1943908968278265e-07
42,24,3.489408868517785e-07
42,26,1.7396479279341293e-07
42,28,0.0019240984693169594
42,30,0.00024405847943853587
42,32,1.7445015032535593e-07
42,34,0.011810801923274994
42,36,0.0025816382840275764
42,38,1.7457358580941218e-07
42,40,1.7322392409369058e-07
42,42,0.0028884606435894966
42,44,1.720397335702728e-07
42,46,1.7223558756995772e-07
42,48,1.7251353767733235e-07
44,0,0.0
44,2,4.1882987034114194e-07
44,4,4.18050660755398e-07
44,6,4.1691916408126417e-07
44,8,4.147329946135869e-07
44,10,4.129513513362326e-07
44,12,4.1844668885460123e-07
44,14,4.135461608711921e-07
44,16,4.130952220293693e-07
44,18,4.1591789567974047e-07
44,20,4.1987732402049005e-07
44,22,0.005093878135085106
44,24,1.7475818481216265e-07
44,26,0.0046509746462106705
44,28,0.0024649628903716803
44,30,1.749509834780838e-07
44,32,1.7503299432064523e-07
44,34,1.7385518447099457e-07
44,36,1.7449060862873012e-07
44,38,1.7268497742861655e-07
44,40,1.7320500944606465e-07
44,42,1.7249136874397664e-07
44,44,1.7369193017202633e-07
44,46,0.0029300928581506014
44,48,1.7151937470316625e-07
46,0,0.0
46,2,4.208942243622005e-07
46,4,4.1993098420789465e-07
46,6,4.182580255474022e-07
46,8,4.173362242454459e-07
46,10,4.143201408624009e-07
46,12,4.144011995776964e-07
46,14,4.19657425254627e-07
46,16,4.1728139876795467e-07
46,18,4.1510003256917116e-07
46,20,1.9566640219181863e-07
46,22,0.0036588264629244804
46,24,0.020450523123145103
46,26,1.7379700523179054e-07
46,28,1.751203626554343e-07
46,30,1.7414235742307937e-07
46,32,1.7392378026670485e-07
46,34,1.7288158460360137e-07
46,36,1.7476294544849225e-07
46,38,1.7496452642262739e-07
46,40,1.7448849121137755e-07
46,42,1.7312582656359154e-07
46,44,1.7257914919355244e-07
46,46,1.7506832250546722e-07
46,48,0.0008445431012660265
48,0,0.0
48,2,3.642602166564757e-07
48,4,3.54481187514466e-07
48,6,3.477269672202965e-07
48,8,3.415068761114526e-07
48,10,3.3415352618249017e-07
48,12,3.274877542480681e-07
48,14,3.243480364290008e-07
48,16,3.251141151849879e-07
48,18,3.2117708315126947e-07
48,20,0.0027299202047288418
48,22,1.3250699737454852e-07
48,24,1.314369200144938e-07
48,26,1.3333497861367505e-07
48,28,1.3377304242112587e-07
48,30,1.3436182655368611e-07
48,32,1.363681860766519e-07
48,34,1.368943856050464e-07
48,36,1.3766354811650672e-07
48,38,1.4030447914592514e-07
48,40,1.7387331752161117e-07
48,42,1.7301292132287927e-07
48,44,1.7196084911574872e-07
48,46,1.7432338950129633e-07
48,48,1.7410326336175785e-07
